listing_id,name,host_id,host_name,location_id,city,neighbourhood,room_id,room_type,price_per_day,Number_of_host_listings,max_guest
30927,Unique & Charming small 1br Apt. LES,149929,Cs,3486250934,Manhattan,Lower East Side,35983,Entire home/apt,105,1,6
31130,Most Central Location!,120291,Lara,3487703305,Manhattan,Hell's Kitchen,35040,Private room,130,3,2
31555,Luminous Beautiful West Village Studio,62165,Tom,3492110889,Manhattan,West Village,36790,Entire home/apt,115,1,2
31902,Sanctuary in East Flatbush,142684,Sunder,3499072207,Brooklyn,Flatlands,35046,Private room,77,1,3
31994,Room with En Suite Bathroom & Deck,137432,Waldemar,3511440340,Brooklyn,Clinton Hill,35045,Private room,76,3,4
32023,FLAT MACDONOUGH,157798,Khem,3514667133,Brooklyn,Bedford-Stuyvesant,35171,Entire home/apt,125,2,6
32037,Huge Private  Floor at The Waverly,158284,Sahr,3514683108,Brooklyn,Clinton Hill,35085,Private room,135,3,3
32100,"Modern Greenpoint, Brooklyn Apt",159370,Ali+Scott,3515274431,Brooklyn,Greenpoint,36908,Entire home/apt,250,1,2
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",92788,Elisabeth,3520238337,Brooklyn,Williamsburg,36913,Entire home/apt,199,1,2
32331,"Sunny, Cobble Hill Apartment",165789,Sarah,3527189387,Brooklyn,Cobble Hill,36919,Entire home/apt,140,1,3
32363,Fully Furnished Basement Apartment,168417,Fredah,3530975184,Queens,Flushing,36921,Private room,140,1,3
32965,FLAT MACDONOUGH GARDEN,168525,Khem,3531344675,Brooklyn,Bedford-Stuyvesant,36904,Entire home/apt,115,2,4
32969,Light filled Williamsburg Apartment,110506,Katherine,3533320307,Brooklyn,Williamsburg,36912,Entire home/apt,160,1,3
33009,Retreat in Williamsburg,170510,Ming,3537193915,Brooklyn,Williamsburg,36910,Entire home/apt,195,1,3
33014,NYC Zen,171851,Paula,3540371917,Manhattan,East Village,36916,Entire home/apt,195,1,8
33223,Cozy BR in Wiliamsburg 3 Bedroom,174025,Lulú,3544166785,Brooklyn,Williamsburg,36922,Private room,80,4,4
34760,Sunny Room in Old Historical Brooklyn Townhouse,180083,Obed,3547664337,Brooklyn,Fort Greene,36558,Private room,44,5,6
35526,Sun Filled Classic West Village Apt,181167,Karen,3548616699,Manhattan,West Village,36915,Private room,156,1,3
36121,Lg Rm in Historic Prospect Heights,185978,Michael,3550388220,Brooklyn,Prospect Heights,36436,Private room,85,1,6
36133,Classic Artist Loft Williamsburg,177536,White,3551631423,Brooklyn,Williamsburg,36751,Private room,125,1,2
36442,Great location. Spacious on PROSPECT PARK,190409,Paz,3555161614,Brooklyn,Prospect Heights,36446,Entire home/apt,115,1,8
36647,Private Bdrm/Bathrm. New! Elevator!,193360,Irene,3564676727,Manhattan,East Harlem,36524,Private room,69,1,6
36703,"Sunny, clean 1 bdrm in W. Village",193722,Karene,3566954493,Manhattan,West Village,36784,Entire home/apt,225,1,4
36934,Great location in Williamsburg,181376,Viviana,3574102287,Brooklyn,Williamsburg,36451,Entire home/apt,125,1,3
38638,Light and Airy Upper East Side 1 BDR apartment,193637,Sara,3578562287,Manhattan,Upper East Side,36540,Entire home/apt,219,2,1
38663,Luxury Brownstone in Boerum Hill,201297,Sarah,3580530332,Brooklyn,Boerum Hill,36482,Entire home/apt,475,1,4
39267,CENTRAL PARK LOFT all for YOU,202249,Marie,3580545157,Manhattan,Upper East Side,36727,Entire home/apt,99,2,6
39282,Indie-Chic Share In Williamsburg,67778,Gus,3581219846,Brooklyn,Williamsburg,36782,Private room,69,2,2
39593,"A room w/ a Manhattan view, longer stay",204539,Myung,3582587683,Queens,Sunnyside,36545,Private room,79,1,3
39704,"Private, Large & Sunny 1BR w/W&D",867225,Renée,3583960568,Brooklyn,Bedford-Stuyvesant,36251,Entire home/apt,135,2,3
40039,Luxurious Condo in DUBMO with View,204724,Henry,3586167732,Brooklyn,DUMBO,36267,Private room,250,1,2
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,8198,Sylvia,3586242087,Manhattan,Upper East Side,35082,Entire home/apt,250,1,3
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,209460,Syl,3592392532,Brooklyn,Gowanus,35160,Entire home/apt,250,1,2
41513,Convenient cozy cheap apt Manhattan,210746,Lorenzo,3592869068,Manhattan,Harlem,35072,Entire home/apt,80,1,2
42580,Parlor Room In Victorian Townhouse,212722,Waldemar,3594311833,Brooklyn,Clinton Hill,35089,Private room,70,3,2
42729,House On Henry (2nd FLR Suite),214148,Annette,3594710940,Brooklyn,Carroll Gardens,36266,Entire home/apt,165,3,2
42882,New York room with a view,214287,Newyorkroomwithaview,3599918756,Staten Island,St. George,36255,Private room,70,1,1
43957,Sunny cozy room in Brklyn townhouse,218404,Tessa,3606129051,Brooklyn,Bushwick,36256,Private room,50,1,2
44096,Room with a View,221873,Waundell,3606634863,Bronx,Highbridge,36258,Private room,40,3,1
44161,Light+Open+Airy+Rustic+Modern Loft,236421,Young,3609090859,Brooklyn,Williamsburg,36268,Entire home/apt,150,1,3
44212,West Inn 2 - East Village,236655,Bruce,3610032286,Manhattan,East Village,36273,Private room,125,4,2
44221,Financial District Luxury Loft,237329,Coral,3610591138,Manhattan,Financial District,36269,Entire home/apt,196,1,3
44229,BROOKLYN VICTORIAN STYLE SUITE.....,27848,Carol,3610596223,Brooklyn,Fort Greene,36262,Private room,110,2,3
44288,Your own Lovely West Village Studio,240360,Sara,3614817348,Manhattan,West Village,36261,Entire home/apt,170,1,8
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,247432,Laurine,3619548798,Manhattan,Harlem,36264,Entire home/apt,165,3,2
45393,Greenwich Village Stylish Apartment,10889,Myrna,3625991523,Manhattan,West Village,36322,Entire home/apt,150,1,2
45542,Clean and Cozy Harlem Apartment,255583,Campbell,3626110567,Manhattan,Harlem,36453,Entire home/apt,100,1,8
45556,"Fort Greene, Brooklyn: Center Bedroom",253385,Doug,3627141928,Brooklyn,Fort Greene,36079,Private room,65,2,4
45910,Beautiful Queens Brownstone! - 5BR,256161,Mark,3629278196,Queens,Ridgewood,36351,Entire home/apt,350,5,4
45936,Couldn't Be Closer To Columbia Uni,258164,Rahul,3635014033,Manhattan,Morningside Heights,36477,Private room,99,2,5
45940,Bright Spacious Luxury Condo,260709,Miyoung,3635117665,Brooklyn,Williamsburg,36346,Entire home/apt,200,1,3
46544,Park Slope haven 15 mins from Soho,262138,Monica,3635916819,Brooklyn,Park Slope,36010,Entire home/apt,150,1,3
46723,SAFE  AND BEAUTIFUL ACCOMODATION,88209,Marylyn,3636873993,Brooklyn,Bedford-Stuyvesant,36318,Private room,90,4,3
46911,Large Room in private Brownstone in Park Slope,263414,Kathleen R.,3638272617,Brooklyn,Prospect Heights,36034,Private room,120,3,6
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",264928,Teresa,3639866700,Manhattan,Upper East Side,36316,Private room,75,1,3
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",267593,Robert,3642223753,Brooklyn,Bedford-Stuyvesant,36009,Entire home/apt,175,1,1
47370,Chelsea Studio sublet 1 - 2 months,268014,Alex,3644730777,Manhattan,Chelsea,36330,Entire home/apt,125,1,2
47926,LUX APT IN TIMES SQUARE NEW BUILDING,272006,Claudia,3649948789,Manhattan,Hell's Kitchen,36323,Entire home/apt,275,1,5
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,199392,Shane,3651735073,Manhattan,Lower East Side,36467,Entire home/apt,299,1,8
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,239208,Laurie,3651779099,Brooklyn,South Slope,36360,Entire home/apt,135,3,1
51438,1 Bedroom in 2 Bdrm Apt- Upper East,274557,Jessica,3656167404,Manhattan,Upper East Side,35616,Private room,130,2,1
51485,Lower East Side $57~/night,275459,Erina,3658924039,Manhattan,Lower East Side,35654,Private room,83,1,2
51572,Prime Location in Manhattan,275578,Lee,3659406780,Manhattan,Chelsea,35646,Private room,123,1,5
51850,( F) Excellent/Pvt Rm,276291,Jullett,3660449148,Queens,Jamaica,35653,Private room,55,2,2
53137,"Quiet, sunny Midtown Manhattan apt.",277379,Marlaine,3662420217,Manhattan,Hell's Kitchen,35582,Entire home/apt,195,1,6
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,277394,Charlotte,3663813835,Brooklyn,Bedford-Stuyvesant,35674,Private room,80,1,7
53469,cozy studio with parking spot,279797,Mark,3665701347,Queens,Middle Village,35661,Entire home/apt,98,5,7
53470,Clean and convenient 2BR apartment,282927,Mark,3666781416,Queens,Ridgewood,35672,Private room,140,5,2
53477,3 floors of luxury!,274782,Mark,3678077169,Queens,Middle Village,35660,Entire home/apt,265,5,6
54158,The Institute—Heart of Williamsburg,186084,Bob,3679026145,Brooklyn,Williamsburg,36471,Entire home/apt,249,2,8
54453,MIDTOWN WEST - Large alcove studio,288031,Anka,3681437990,Manhattan,Hell's Kitchen,36426,Shared room,105,1,2
54466,Beautiful Uptown Manhattan apartmnt,289653,Douglas,3682650399,Manhattan,Harlem,36454,Private room,200,1,1
54508,Sml Rm in pr Brst  Park Sl great for Med/students,99212,Kathleen R.,3684991720,Brooklyn,Prospect Heights,36460,Private room,100,3,1
54544,City Room - Private Penthouse Apt.,292204,Wayne,3687125020,Manhattan,Harlem,36401,Entire home/apt,121,5,5
54626,Cozy bedroom by Yankee Stadium,249372,Waundell,3690117793,Bronx,Highbridge,36442,Private room,45,3,2
54860,Great apartment with private bathroom and entrance,292630,Jenny,3691624158,Manhattan,East Harlem,36473,Private room,100,1,2
55467,Private Garden Apt • New Renovation,293394,Paul,3691793998,Brooklyn,Williamsburg,36475,Entire home/apt,140,1,2
55498,Modern comfort in art infused landmark Brownstone,295760,Tami,3692329268,Brooklyn,Bedford-Stuyvesant,36432,Private room,71,1,5
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",291112,Jason,3693083161,Manhattan,NoHo,36421,Private room,130,1,4
55737,Sleek & Comfortable Soho Apt,297176,Pete,3693886408,Manhattan,West Village,35151,Entire home/apt,199,1,3
55959,Spacious Williamsburg Share w/ LOFT BED,297769,Gus,3694149664,Brooklyn,Williamsburg,35150,Private room,69,2,1
55982,Cozy 2 br in sunny Fort Greene apt,23619,Sally,3698445650,Brooklyn,Fort Greene,36026,Private room,68,1,2
56467,Cozy East Village Railroad 1 Bed!,281764,Leonardo,3699237531,Manhattan,East Village,36080,Entire home/apt,130,1,1
56525,1 Bedroom Loft w/ Private Roof Deck,303882,Alex,3699309082,Brooklyn,Greenpoint,35136,Entire home/apt,195,1,2
56859,City Room - Private & Comfy Bedroom,197755,Wayne,3699945651,Manhattan,Harlem,35010,Private room,64,5,2
57166,Elegant NYC Pad,303939,Vasili,3700064749,Queens,Ditmars Steinway,35183,Entire home/apt,140,1,3
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",306545,S.M.,3700068571,Brooklyn,Cobble Hill,36420,Entire home/apt,159,1,3
57468,"Modern, Large East Village Loft",306605,Ori,3700617207,Manhattan,East Village,36483,Entire home/apt,189,1,3
57618,"Great new apt, close to everything",306739,Ana,3700694895,Manhattan,Hell's Kitchen,36455,Entire home/apt,250,1,2
57740,Quiet & Clean Retreat in the City,308875,I,3701198910,Manhattan,East Village,36476,Entire home/apt,239,1,3
57754,Stylish Large Gramercy Loft!,307962,R,3702659694,Manhattan,Flatiron District,36038,Entire home/apt,305,1,1
57874,The Brownstone-Luxury 1 Bd Apt/NYC,308652,Simon,3703151811,Manhattan,Harlem,36028,Entire home/apt,155,2,2
58059,PRIVATE Room on Historic Sugar Hill,310458,Agnes,3704185899,Manhattan,Harlem,36035,Private room,60,2,7
58062,South Slope Green,295128,Linda,3704190127,Brooklyn,Windsor Terrace,36049,Private room,135,1,3
58467,"17 Flr. Manhattan Views, Nr. Subway",310670,Dave,3706460061,Manhattan,Roosevelt Island,36036,Private room,120,1,8
59014,"Spacious 1BR, Adorable Clean Quiet",311286,Drica,3708511732,Manhattan,Lower East Side,36041,Entire home/apt,150,1,2
59121,"Nice, clean, safe, convenient 3BR",312288,Mark,3708903045,Queens,Ridgewood,36046,Entire home/apt,140,5,4
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,312722,Betty,3708944827,Brooklyn,Greenpoint,35057,Entire home/apt,135,1,10
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",146944,Ricardo & Ashlie,3709615746,Manhattan,Chinatown,35087,Entire home/apt,250,2,4
59855,One bedroom Apt. in NYC,313317,Leslie,3709767981,Manhattan,Midtown,35033,Entire home/apt,250,1,5
60164,"Beautiful, elegant 3 bed SOHO loft",314256,Harrison,3710273988,Manhattan,SoHo,35058,Entire home/apt,500,1,8
60457,Spacious Greenwich Village Apt,314582,Jessica,3713452241,Manhattan,Greenwich Village,35056,Entire home/apt,225,1,1
60611,SpaHa Studio Monthly Rental,7310,Blanca,3713898217,Manhattan,East Harlem,35179,Entire home/apt,125,2,2
60666,City Room - Private Luxury Suite,317809,Wayne,3715249215,Manhattan,Harlem,35622,Private room,92,5,2
60673,Private Room/bath Luxurious Harlem,319092,Cynthia,3715436359,Manhattan,Harlem,35053,Private room,175,1,4
60680,The gem of the East Village,320422,Mich,3715891138,Manhattan,East Village,35098,Entire home/apt,99,1,3
60794,"Bright and spacious, garden below!",320450,Rachel,3720358336,Manhattan,Upper West Side,35619,Entire home/apt,195,1,2
60948,ACCOMMODATIONS GALORE #2,320761,Laurine,3720384155,Manhattan,East Harlem,35541,Entire home/apt,140,3,2
61167,Colorful Private One Bedroom Apt,320538,Greta,3720682554,Manhattan,Little Italy,35670,Entire home/apt,135,1,14
61224,Huge Chelsea Loft,321756,Frank,3722423668,Manhattan,Chelsea,35077,Entire home/apt,500,1,4
61406,Great room in great location,321934,Bethania,3723312535,Manhattan,Harlem,35621,Private room,80,2,9
61492,Exclusive Room with Private Bath in  LES,322884,Tunji,3723335242,Manhattan,Chinatown,35540,Private room,120,2,3
61509,"Quiet, clean midtown apt w. elevato",322716,Anna/Fonzy,3726732147,Manhattan,Midtown,35083,Entire home/apt,110,1,10
62095,BK Sweet Suite w/Kitchen&FullBath,324460,Colette&Sean,3726764279,Brooklyn,East Flatbush,35070,Entire home/apt,65,1,3
62427,Great East Village Apartment Rental,314941,Brie,3727712512,Manhattan,East Village,35019,Entire home/apt,130,1,2
62430,BROWNSTONE SUNDRENCHED BEAUTY,325389,Sheila,3728459637,Brooklyn,Bushwick,35055,Entire home/apt,99,1,2
62452,A SpeciaL!! Private Room in NY,136227,Lissette,3728879926,Staten Island,Tompkinsville,36303,Private room,36,6,2
62461,B NYC Staten Alternative...,327673,Lissette,3728884217,Staten Island,Tompkinsville,36353,Private room,37,6,3
62787,C Private Room By The Ferry,329436,Lissette,3729323858,Staten Island,Tompkinsville,36345,Private room,37,6,9
62891,Smallest House In The Village,101597,Olivia,3729754558,Manhattan,East Village,36371,Entire home/apt,175,2,3
62903,Beautiful modern studio apartment in heart of NYC,330347,Daniel,3729768983,Manhattan,Chelsea,36350,Entire home/apt,205,2,2
62925,Beautiful Landmarked Duplex,332189,Maya,3731003001,Brooklyn,Greenpoint,36362,Entire home/apt,285,3,2
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,323517,Scott,3731389852,Brooklyn,Williamsburg,36361,Private room,59,2,5
63320,D Private Che@p Room 2 Explore NYC,338454,Lissette,3736083076,Staten Island,Tompkinsville,36352,Private room,36,6,1
63360,Safe cute near subway& Manhattan NY NY retro style,240427,Dennis & Naoko,3736684097,Queens,Astoria,36761,Entire home/apt,99,1,8
63546,Large and Cozy Private Bedroom,342054,Antonín,3736994600,Brooklyn,Kensington,36767,Private room,39,2,2
63573,Small tidy bedroom in duplex,282655,Emily,3738006446,Brooklyn,Park Slope,36773,Private room,60,2,2
63588,LL3,343250,Carol Gloria,3738844984,Bronx,Clason Point,36785,Private room,90,7,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,